# galtileid raJ2000 decJ2000 uDerived gDerived rDerived iDerived zDerived yDerived redshift semiMajorBulge semiMinorBulge semiMajorDisk semiMinorDisk isAGN
19111964 1.49890018 4.32428169 22.6389303 22.4453447 22.3098966 22.1121166 22.1073105 22.1469071 1.57000005 0.0 0.0 0.0 0.0 3
19114012 1.49483347 4.35671854 23.6740904 23.4805049 23.3450568 23.1472768 23.1424706 23.1820672 1.57000005 0.0 0.0 0.0 0.0 3
19116060 1.51773632 4.50370502 17.6196611 17.5045688 17.2718173 17.2923508 17.2782596 17.073095 1.05999994 0.0 0.0 0.0 0.0 3
19118108 1.49767947 4.49860811 19.6360441 19.5209518 19.2882003 19.3087338 19.2946426 19.089478 1.05999994 0.0 0.0 0.0 0.0 3
19572764 1.34357607 4.2027998 22.7033212 22.4757004 22.3613243 22.2373738 22.0325163 22.0685062 2.1500001 0.0 0.0 0.0 0.0 3
19574812 1.33711624 4.3480916 20.624838 20.4895724 20.380433 20.2305439 20.0387375 20.0859432 2.06999993 0.0 0.0 0.0 0.0 3
19576860 1.35173666 4.35110664 22.9683236 22.8330579 22.7239185 22.5740295 22.382223 22.4294287 2.06999993 0.0 0.0 0.0 0.0 3
19578908 1.35314131 4.49471521 25.3309538 24.4180812 24.3402 24.3036173 24.1270482 23.9768135 2.42000008 0.0 0.0 0.0 0.0 3
19580956 1.33714533 4.49962187 23.5431151 22.6302424 22.5523612 22.5157785 22.3392095 22.1889748 2.42000008 0.0 0.0 0.0 0.0 3
19583004 1.34354174 4.50986004 23.8934788 22.9806061 22.902725 22.8661422 22.6895732 22.5393385 2.42000008 0.0 0.0 0.0 0.0 3
19585052 1.35644817 4.51172161 23.6436997 22.730827 22.6529458 22.6163631 22.4397941 22.2895594 2.42000008 0.0 0.0 0.0 0.0 3
20033564 1.21032107 4.21013165 22.4080515 20.8812586 20.5381625 20.4626901 20.4734038 20.3133559 3.03999996 0.0 0.0 0.0 0.0 3
20035612 1.20927334 4.34577847 21.6740948 21.5231192 21.4651046 21.2108239 21.2014584 21.1692904 1.84000003 0.0 0.0 0.0 0.0 3
20041756 1.20789933 4.5067482 23.0374272 21.7478462 21.4668284 21.3856776 21.381041 21.2073215 2.8900001 0.0 0.0 0.0 0.0 3
402658611793946 1.5 4.3499999 22.9681442 22.0813904 20.8551781 20.0140209 19.6690367 19.4559848 0.551999986 1.36133778 0.66343385 0.0 0.0 0
403080675762202 1.5 4.5 23.2822236 22.3954697 21.1692574 20.3281002 19.983116 19.7700641 0.551999986 0.98681432 0.688777745 0.0 0.0 0
444866571091994 1.35000002 4.3499999 24.1246946 23.3162383 22.1211105 21.2235317 20.8781263 20.642462 0.582000017 0.690695345 0.47459197 0.0 0.0 0
445288650387482 1.35000002 4.5 23.7924918 22.9840355 21.7889076 20.8913289 20.5459234 20.3102591 0.582000017 1.03233576 0.428901225 0.0 0.0 0
4710400888850 1.34192558 4.43521597 19.0702056 17.5512805 16.7238604 16.3395153 16.1015616 15.9748844 0.069867 1.74367285 1.62688935 7.74902248 2.65936422 0
4710401130514 1.45095752 4.38075434 18.5379819 17.6269598 17.2122589 16.9930946 16.8322931 16.7310521 0.0806759 0.481777787 0.46678561 3.24772 1.8154335 0
4710401918994 1.49742526 4.54891803 19.9482267 18.318632 17.2680203 16.7912852 16.5227958 16.3343172 0.181968302 1.55261362 1.19782221 7.52939987 4.01622725 0
4710402236434 1.52467731 4.41819429 19.9222701 18.3568751 17.3948257 16.980117 16.7106683 16.5446134 0.142702907 1.66829765 1.66462958 0.89486289 0.653245628 0
4710402557970 1.25713373 4.52586313 19.4805483 18.3116281 17.7917507 17.5170317 17.3107946 17.184407 0.0500667989 0.811294973 0.688527286 1.75351739 0.43304199 0
4710403201042 1.48978324 4.52605233 20.1007293 18.6508316 18.0548943 17.7777015 17.587477 17.480179 0.0715472996 1.05442023 0.788828611 1.84962475 0.734628975 0
4710403209234 1.24758011 4.22962622 19.3699304 18.3302281 17.6712806 17.2490431 16.9037741 16.6505546 0.064907901 0.376748294 0.370919585 2.0627017 0.462035805 0
4710403244050 1.38247187 4.55189517 19.2345441 18.1512902 17.7168107 17.489468 17.3165241 17.2105866 0.055447001 0.286036491 0.258353114 2.28105521 0.691974282 0
4710403434514 1.30600922 4.52093061 19.0364211 18.6895992 18.2019971 17.9933481 17.8714458 17.776719 0.316485912 1.07516205 0.822115481 2.70732021 0.969016075 0
4710403696658 1.26559619 4.48455348 19.8790048 18.452749 17.6713955 17.2940067 17.0482339 16.9135017 0.0794873983 0.751201987 0.720451295 4.04124832 1.10052645 0
4710404382738 1.33097952 4.3268122 20.3701401 19.3537025 18.331082 17.9202777 17.7031407 17.5439928 0.310446501 0.543951929 0.540069282 3.66252089 2.40562272 0
4710404386834 1.45132926 4.54575914 20.3701401 19.3537025 18.331082 17.9202777 17.7031407 17.5439928 0.310446501 0.543951929 0.540069282 3.66252089 2.40562272 0
