# id raJ2000 decJ2000 glat glon sedFilename uDerived gDerived rDerived iDerived zDerived yDerived properMotionRa properMotionDec parallax radialVelocity isVar
872591853577 1.406878 4.2234471 -56.7531925 101.759006 starSED/mlt/m1.7Full.dat.gz 23.9204943 21.6707278 20.2995425 19.3430829 18.9001929 18.6933888 -5.05 10.2 0.8139543 36.7 4
2269762316297 1.393999 4.2349347 -56.738177 101.743589 starSED/kurucz/km15_5750.fits_g25_5870.gz 23.2987811 22.3513801 21.9876161 21.8614609 21.8263427 21.8159109 -0.99 1.38 0.0445862 -14 0
2251133704201 1.3925812 4.22691 -56.7453165 101.736428 starSED/mlt/m1.9Full.dat.gz 31.1707634 28.9377672 27.5658369 26.5642844 26.1026912 25.8983098 -1.7 2.07 0.0405135 -69.1 4
1677005107209 1.4002087 4.2319609 -56.742989 101.752529 starSED/kurucz/km10_4500.fits_g05_4600.gz 20.6471108 18.4613384 17.5674223 17.2341484 17.0817642 16.9706244 -5.79 4.72 0.7769624 9.2 0
2251132819465 1.3802021 4.2504515 -56.7190506 101.728977 starSED/kurucz/km15_5500.fits_g20_5580.gz 25.8415181 24.7906073 24.3517385 24.1891033 24.1321714 24.1072045 -0.94 0.64 0.0204456 -13 0
1677004072969 1.3739062 4.2530735 -56.7145419 101.719691 starSED/kurucz/km30_5250.fits_g05_5410.gz 15.450291 14.2835319 13.8110465 13.6241559 13.5443168 13.5109204 -2.29 9.28 0.5069907 71.8 0
2251130304521 1.3756064 4.2249561 -56.7416999 101.706061 starSED/kurucz/km15_4500.fits_g05_4500.gz 26.8027102 24.6573487 23.7118887 23.3377503 23.1646258 23.0526808 0.16 3.82 0.0637382 322.8 0
2372165199881 1.3800049 4.2280671 -56.7401727 101.715463 starSED/mlt/m1.1Full.dat.gz 30.9344396 28.6610862 27.3118017 26.4854322 26.0933268 25.893771 -1.42 0.19 0.0315791 -105.6 4
2251130202121 1.3725137 4.2326652 -56.7334077 101.705281 starSED/mlt/m0.4Full.dat.gz 29.9522148 27.7338838 26.4638148 25.7818137 25.450439 25.2767983 -0.67 1.41 0.0381417 91.7 4
2251129882633 1.3714994 4.2303741 -56.7352491 101.702186 starSED/mlt/m2.5Full.dat.gz 30.8988191 28.7126185 27.3456176 26.2129059 25.6921161 25.5015738 -4.15 1.19 0.0504661 -317 4
2251130857481 1.3725995 4.2420218 -56.7245805 101.710938 starSED/mlt/m4.8Full.dat.gz 31.3375968 29.0705965 27.6585165 26.0479162 25.2649286 24.8683792 -4.79 -0.01 0.1058279 -161.7 4
2251130937353 1.3726456 4.243006 -56.723664 101.711597 starSED/mlt/m1.9Full.dat.gz 27.9767637 25.7437675 24.3718371 23.3702847 22.9086914 22.7043101 -1.89 0.28 0.1849269 -25.5 4
2390942482441 1.3831021 4.2313118 -56.7380992 101.722704 starSED/kurucz/km45_4000.fits_g05_4160.gz 31.1564651 28.8523574 27.6203788 27.0669423 26.7992511 26.6517092 -0.65 0.83 0.0169824 -60.2 0
2251133954057 1.3886833 4.242501 -56.7293051 101.738891 starSED/mlt/m1.3Full.dat.gz 28.5574606 26.2853878 24.9244775 24.0557351 23.6472957 23.443237 -1.56 5.86 0.1163054 223 4
872591562761 1.388361 4.2425115 -56.7291915 101.738343 starSED/kurucz/km20_4250.fits_g00_4470.gz 21.1639058 18.945055 17.9070831 17.4834861 17.2902969 17.1763526 -8.4 10.25 0.9319659 25.8 0
2251133638665 1.3878573 4.2398607 -56.7315385 101.735917 starSED/kurucz/km10_4750.fits_g10_4890.gz 23.7482603 22.0297309 21.3036795 21.0337546 20.9182773 20.8408006 -9.34 3.69 0.1498304 -122.3 0
2251133427721 1.3868679 4.2394914 -56.7315696 101.733997 starSED/kurucz/km10_5250.fits_g20_5470.gz 22.3019547 21.1237932 20.6324227 20.4571603 20.3962249 20.3637989 -2.28 4.83 0.1175439 87.9 0
2251127351305 1.3372655 4.294598 -56.6634368 101.681166 starSED/mlt/m2.5Full.dat.gz 30.9101462 28.7243337 27.3576562 26.2251596 25.7045351 25.5140968 -1.43 0.94 0.051357 81.1 4
2390941292553 1.3403245 4.2922043 -56.6666886 101.685009 starSED/mlt/m0.2Full.dat.gz 30.1520132 27.9553328 26.7110999 26.0661563 25.752247 25.5876919 -1.92 0.83 0.031886 -154.6 4
2251123849225 1.3254731 4.2731608 -56.6799129 101.648285 starSED/kurucz/km40_4250.fits_g00_4250.gz 24.7249223 22.411526 21.1983042 20.6629834 20.4085159 20.2697854 -10.16 5.86 0.2802851 -16.7 0
